Price,Close,High,Low,Open,Volume
2021-08-10,3.062114715576172,3.1257432038251087,3.062114715576172,3.0939290545142843,7271589
2021-08-11,2.950765371322632,3.0780219762568914,2.9428118335142406,3.062114900640109,8999312
2021-08-12,2.982579231262207,3.038253990483463,2.958718620167383,2.974625694230599,13897607
2021-08-13,2.96667218208313,3.0143934046730587,2.950765107886487,2.982579256279773,5733623
2021-08-16,2.9905331134796143,3.05416141707685,2.98257957552996,3.046207879127196,11659349
2021-08-17,2.9905331134796143,3.006440189378923,2.9746260375803057,2.9905331134796143,5284260
2021-08-18,2.974626064300537,3.0303008304482293,2.9587189882583393,2.990533140342735,6623348
2021-08-19,2.9348583221435547,2.966672473663707,2.9269047842635167,2.966672473663707,5154566
2021-08-20,2.9428117275238037,2.9666723400895965,2.9189511149580114,2.9428117275238037,6587983
2021-08-23,2.950765371322632,2.9666724469394143,2.9348582957058493,2.958718909131023,4457301
2021-08-24,2.950765371322632,2.990533060364588,2.950765371322632,2.958718909131023,6990610
2021-08-25,2.9109976291656494,2.966672392808528,2.9109976291656494,2.950765317481991,5851018
2021-08-26,2.879183292388916,2.942811783399787,2.8712297547159693,2.9189511703809465,4374973
2021-08-27,2.8871371746063232,2.903044250805754,2.871229908779586,2.8950907127060383,3782868
2021-08-31,2.9189512729644775,2.9666725006792722,2.89509065910708,2.89509065910708,5540672
2021-09-01,2.950765371322632,2.9984865981729794,2.918951220089067,2.926904757897458,11165116
2021-09-02,2.982579231262207,2.998486305325423,2.950765083135775,2.958718620167383,6046173
2021-09-03,2.982579231262207,3.014393379388639,2.966672157198991,2.982579231262207,6182656
2021-09-06,3.0223469734191895,3.0541611221456098,2.990532824692769,2.9984863618743742,11073795
2021-09-07,2.96667218208313,3.0541610901646656,2.96667218208313,3.0303004788697017,8561673
2021-09-08,2.8950905799865723,2.982579495072694,2.8871370422514704,2.9666724196024896,6223558
2021-09-09,2.9189512729644775,2.9269048109169433,2.8791833935748463,2.8791833935748463,3496645
2021-09-10,2.871229410171509,2.9348578935470298,2.871229410171509,2.926904356828499,4595732
2021-09-13,2.879183292388916,2.9030440950350527,2.879183292388916,2.879183292388916,7054911
2021-09-14,2.863276481628418,2.9030443632952596,2.8473694048126066,2.8950908248873537,7833765
2021-09-15,2.8076014518737793,2.871229753224298,2.7996479142049644,2.863276215555483,6135170
2021-09-16,2.8076014518737793,2.8473691402178534,2.7916943765361495,2.823508527211409,3580065
2021-09-17,2.775787353515625,2.8235085804279474,2.759880277878184,2.8235085804279474,3774529
2021-09-20,2.7121589183807373,2.7598801429601862,2.6723910416039063,2.7598801429601862,4370226
2021-09-21,2.7280662059783936,2.767833896229066,2.7121591298781245,2.7280662059783936,4567162
2021-09-22,2.7360196113586426,2.751926686687576,2.688298385371843,2.7360196113586426,3039196
2021-09-23,2.7280662059783936,2.7598803581789313,2.696252053777856,2.736019744028528,4374263
2021-09-24,2.7280662059783936,2.767833896229066,2.7121591298781245,2.7121591298781245,4454651
2021-09-27,2.7280662059783936,2.767833896229066,2.7201126679282592,2.751926820128797,4041930
2021-09-28,2.7042057514190674,2.7360199054971455,2.6962522128995476,2.728066366977626,2916625
2021-09-29,2.696251630783081,2.7360193147948983,2.696251630783081,2.712158704387808,5787691
2021-09-30,2.688298225402832,2.7121588369763896,2.6803444985843616,2.7042052997852037,4089669
2021-10-01,2.680344581604004,2.7201124584189684,2.6644375067289343,2.6644375067289343,3992138
2021-10-04,2.7121589183807373,2.7360195306704616,2.6803445790338145,2.688298306091013,4636911
2021-10-05,2.688298225402832,2.720112374167576,2.672390961393176,2.720112374167576,3228956
2021-10-06,2.6246700286865234,2.6882985228842906,2.6246700286865234,2.6803447951856776,3344717
2021-10-07,2.6405768394470215,2.656483913990951,2.6326233021750567,2.6405768394470215,2608211
2021-10-08,2.6405768394470215,2.656483913990951,2.6326233021750567,2.6405768394470215,2499539
2021-10-11,2.9030439853668213,2.9030439853668213,2.640576872820197,2.640576872820197,19720968
2021-10-12,2.775787353515625,2.966672450792215,2.7678338156969047,2.895090610423731,21069666
2021-10-13,2.7201125621795654,2.8076014773297744,2.7201125621795654,2.7837408641069903,5266894
2021-10-14,2.7042057514190674,2.7519269825361845,2.7042057514190674,2.7121592899385867,3534934
2021-10-15,2.7121589183807373,2.74397306810037,2.6803445790338145,2.7121589183807373,4430760
2021-10-18,2.7121589183807373,2.7360195306704616,2.696251843520921,2.7121589183807373,3061243
2021-10-19,2.7439730167388916,2.751926554019926,2.7201124048957883,2.7280659421768227,2780405
2021-10-20,2.7121589183807373,2.7598801429601862,2.7121589183807373,2.74397306810037,3614326
2021-10-21,2.7360196113586426,2.7360196113586426,2.680344658080081,2.712158998365243,4307875
2021-10-22,2.767833709716797,2.767833709716797,2.728066022145896,2.7360195596600763,8718785
2021-10-25,2.7439730167388916,2.7598800913009605,2.7201124048957883,2.7439730167388916,6831192
2021-10-26,2.767833709716797,2.7916943222593376,2.7519266346884366,2.7519266346884366,6318367
2021-10-27,2.783740997314453,2.7996480735574942,2.7519268448283714,2.7678339210714125,4798005
2021-10-28,2.799647808074951,2.8473690322788077,2.7837407333403323,2.8235084201768794,4773788
2021-11-01,2.8235085010528564,2.847369113838243,2.791694350672341,2.8076014258625985,6760043
2021-11-02,2.8314621448516846,2.879183372212406,2.8155550690647777,2.8314621448516846,14861827
2021-11-03,2.799647808074951,2.8394154949114983,2.720112434401857,2.831461957544189,8678642
2021-11-04,2.863276481628418,2.8712300200363234,2.8235087895888897,2.8235087895888897,9575365
2021-11-05,2.8394157886505127,2.871229941410941,2.831462250460406,2.863276403220834,6276909
2021-11-08,2.9189512729644775,2.9189512729644775,2.847369241764983,2.847369241764983,12995754
2021-11-09,2.8950905799865723,2.934858268662082,2.879183314889071,2.9269047309269802,11746199
2021-11-10,2.950765371322632,2.990533060364588,2.879183341419812,2.9030441444722843,29057787
2021-11-11,2.9269044399261475,2.974625661592185,2.903043829093129,2.9507650507591663,11832653
