Price,Close,High,Low,Open,Volume
2021-09-06,0.6931144595146179,0.6931144595146179,0.6931144595146179,0.6931144595146179,1241126
2021-09-07,0.7624250054359436,0.7624250054359436,0.7624250054359436,0.7624250054359436,2945981
2021-09-08,0.8386106491088867,0.8386106491088867,0.8386106491088867,0.8386106491088867,14189955
2021-09-09,0.9222428798675537,0.9222428798675537,0.9222428798675537,0.9222428798675537,79049680
2021-09-10,1.0144667625427246,1.0144667625427246,0.977233730757907,0.9835343375113232,54875654
2021-09-13,1.1158568859100342,1.1158568859100342,1.1158568859100342,1.1158568859100342,7969590
2021-09-14,1.2269845008850098,1.2269845008850098,1.2269845008850098,1.2269845008850098,5364047
2021-09-15,1.3495683670043945,1.3495683670043945,1.1341870357875345,1.3495683670043945,387652104
2021-09-16,1.483608365058899,1.483608365058899,1.4034131874565003,1.483608365058899,154921705
2021-09-17,1.4721521139144897,1.601036597949198,1.4079962094408902,1.5423225237349854,341628260
2021-09-20,1.4320545196533203,1.51797774124004,1.3753451650675257,1.5165454631999968,106027445
2021-09-21,1.5752596855163574,1.5752596855163574,1.4016946231685348,1.4750156887625263,113580341
2021-09-22,1.732785701751709,1.732785701751709,1.732785701751709,1.732785701751709,10920655
2021-09-23,1.906064510345459,1.906064510345459,1.775747746499775,1.8201411656324558,108343802
2021-09-24,2.096527576446533,2.096527576446533,1.9475942706093856,1.9919878067426366,78703362
2021-09-27,2.3056070804595947,2.3056070804595947,1.979099280869847,2.0822068889787486,29769366
2021-09-28,2.5361690521240234,2.5361690521240234,2.3342487686349576,2.3471371466312703,10682756
2021-09-29,2.435925006866455,2.789642225582844,2.282695091233733,2.789642225582844,44273512
2021-09-30,2.2082278728485107,2.5490574081311164,2.1924758832982674,2.4058513201699743,30085250
2021-10-01,1.987691879272461,2.2368690604226225,1.987691879272461,2.1194409155399345,30370321
2021-10-04,2.1853156089782715,2.1853156089782715,1.8330298281846327,1.9475944950193813,35271436
2021-10-05,2.3213603496551514,2.4015554086804185,2.1108482901944896,2.1752906513476935,32879134
2021-10-06,2.377210855484009,2.4058512217477204,2.2211161598688145,2.3199279975645406,19420027
2021-10-07,2.614932060241699,2.614932060241699,2.4473812577136638,2.520416107868475,23107060
2021-10-08,2.7180395126342773,2.861244654355823,2.551920990912243,2.6851023111459473,27953049
2021-10-11,2.4473812580108643,2.77818602866125,2.4473812580108643,2.6893980080983075,24925763
2021-10-12,2.2039318084716797,2.4115792971017056,2.2039318084716797,2.3915304747137416,56025792
2021-10-13,2.3170642852783203,2.4187394939468367,2.067885930515458,2.136625120875596,163569198
2021-10-14,2.205364227294922,2.400123115339809,2.205364227294922,2.3141998889618796,60344524
2021-10-15,2.0077407360076904,2.288422843859555,1.9962834559353493,2.2024996194931443,143900516
2021-10-18,2.0578622817993164,2.1709947794756035,1.9261133563809083,2.0077408122853813,85436530
2021-10-19,1.9619140625,2.1180087652295674,1.9275455269552526,2.076478838941801,63851896
2021-10-20,1.8989042043685913,2.019196911972643,1.8688314407382702,1.963346329896833,117954614
2021-10-21,1.7098731994628906,1.8989041534884343,1.7098731994628906,1.8903114294928351,113228387
2021-10-22,1.8802876472473145,1.8802876472473145,1.6368383856850868,1.7084409568680081,34198972
2021-10-25,1.973371148109436,2.059294490938497,1.8129807979563413,1.833029621244812,28573440
2021-10-26,1.8831511735916138,2.019196934979342,1.8774231236593726,1.9619140741100916,19047184
2021-10-27,1.8903114795684814,1.961914051160047,1.8129808581116802,1.8831511515629205,17213196
2021-10-28,1.9533225297927856,1.9919878999969733,1.8845834510087016,1.8903115009386937,7107185
2021-11-01,1.8616710901260376,1.9475943167115444,1.8416222664096826,1.9189528869510248,17168168
2021-11-02,1.7886362075805664,1.8616710550726812,1.7685873842417101,1.86023877697628,12908090
2021-11-03,1.7442418336868286,1.8487826730103891,1.6898245907927083,1.7771791546004798,15628380
2021-11-04,1.7872039079666138,1.8330296037821672,1.7098731717350364,1.7442417056133548,10906372
2021-11-05,1.790068507194519,1.8043882183199011,1.7471063038075763,1.7829080612451362,7636760
2021-11-08,1.896039605140686,1.9518901859514484,1.770019677065466,1.7771790602923137,93166527
