Price,Close,High,Low,Open,Volume
2021-08-10,4.380358695983887,4.40429525070046,4.308549792751427,4.324507369076266,54947154
2021-08-11,4.27663516998291,4.388338218096949,4.252698612300564,4.388338218096949,66500574
2021-08-12,4.380358695983887,4.40429525070046,4.308549792751427,4.316528390684532,77743440
2021-08-13,4.37238073348999,4.420253469421864,4.356423154846032,4.388338312133948,56160051
2021-08-16,4.500041484832764,4.555893201832519,4.380359451523971,4.388338431291949,131676123
2021-08-17,4.523977756500244,4.531956355303052,4.460147444243094,4.500041199174477,82280720
2021-08-18,4.484083652496338,4.563871543376247,4.452168496144374,4.555892944517593,86199965
2021-08-19,4.444189548492432,4.468125723648485,4.412274394645265,4.452168146724902,63147257
2021-08-20,4.460147857666016,4.468126457208381,4.396317539492264,4.436211298121505,47377569
2021-08-23,4.547914028167725,4.595787143817165,4.484083714580044,4.492062694007844,86487452
2021-08-24,4.5558929443359375,4.611744658178984,4.5399353661605915,4.5718505225112835,67062287
2021-08-25,4.547914028167725,4.603765742786285,4.523977850801684,4.5638716065646445,51009115
2021-08-26,4.53993558883667,4.587808325710783,4.515999030170267,4.56387176704438,54176746
2021-08-27,4.571850299835205,4.579828898304936,4.500041011314349,4.547913743508701,59034380
2021-08-31,4.6995110511779785,4.723447608177617,4.603765584096757,4.611744563249525,98583074
2021-09-01,4.691532135009766,4.7314258866980134,4.667595579629904,4.707489711776793,56904589
2021-09-02,4.715468883514404,4.77132059922205,4.683553726098231,4.691532705681618,52563023
2021-09-03,4.6995110511779785,4.731426206871719,4.6596172967901355,4.723447608177617,47164414
2021-09-06,4.715468883514404,4.763341619638663,4.707490284389705,4.715468883514404,50948480
2021-09-07,4.651638984680176,4.7394058656530245,4.627702804706767,4.7154693052208945,47545635
2021-09-08,4.500041484832764,4.659617656064052,4.500041484832764,4.651638676296074,81602319
2021-09-09,4.579829216003418,4.579829216003418,4.452168587962779,4.47610514594974,57532789
2021-09-10,4.500041484832764,4.611744918832274,4.492062885523482,4.595787339755015,57082067
2021-09-13,4.508019924163818,4.547913676845019,4.436210636695548,4.508019924163818,69425166
2021-09-14,4.508019924163818,4.571850232820658,4.460147192671188,4.523977501328028,88208624
2021-09-15,4.436210632324219,4.5239774968702156,4.428232033979301,4.492062342573244,48409572
2021-09-16,4.420253276824951,4.484083588619602,4.404295698876289,4.460147411925942,52561040
2021-09-17,4.428232192993164,4.46014734843618,4.380359079369976,4.4521683693460945,44558226
2021-09-20,4.268656253814697,4.380359303582883,4.260677654774883,4.372380704543068,55313553
2021-09-21,4.292593002319336,4.332486760205912,4.2606778438265955,4.308550581565706,53444737
2021-09-22,4.37238073348999,4.37238073348999,4.276635261626243,4.316529018006795,51763888
2021-09-23,4.228762149810791,4.420253076517159,4.21280457258526,4.380358943224007,144838058
2021-09-24,4.101101398468018,4.196847248044543,4.069186242095401,4.196847248044543,110507439
2021-09-27,4.140995502471924,4.14897410127468,4.085143789017942,4.140995502471924,57426382
2021-09-28,4.125038146972656,4.148974325131065,4.085144009430386,4.148974325131065,65235176
2021-09-29,4.180889129638672,4.2048256862328035,4.125037798350131,4.1569529535032,96418601
2021-09-30,4.25269889831543,4.276635457607627,4.133016862771846,4.196847560731473,142817527
2021-10-01,4.228762149810791,4.268655902645292,4.204825593743169,4.21280457258526,57970442
2021-10-04,4.212805271148682,4.2606780107634865,4.212805271148682,4.244720430891885,75918221
2021-10-05,4.2048258781433105,4.22876243582992,4.188868299838464,4.2207834564481574,38405564
2021-10-06,4.164931297302246,4.204825429032675,4.1409951226308985,4.196846830961771,60571243
2021-10-07,4.212805271148682,4.2367414507267265,4.19684769127708,4.212805271148682,82618566
2021-10-08,4.196846961975098,4.244719693270877,4.188867983196477,4.220783137393663,82177027
2021-10-11,4.244719982147217,4.276635138516403,4.204825846456396,4.21280482577803,65426338
2021-10-12,4.236741065979004,4.276635202264491,4.212804888574656,4.220783487556545,80628129
2021-10-13,4.188868045806885,4.268655932492428,4.172910468469776,4.2606773340532005,83160348
2021-10-14,4.188868045806885,4.212804602041874,4.156952891132668,4.180889066909003,50738067
2021-10-15,4.101101398468018,4.20482584690836,4.061207643231584,4.20482584690836,93688964
2021-10-18,4.053228378295898,4.109080088241691,4.045249779994299,4.1011011094814425,89035160
2021-10-19,4.172910690307617,4.180889289170998,4.077165221195001,4.077165221195001,96837740
2021-10-20,4.228762149810791,4.23674074819423,4.156952862066577,4.1729104392921075,80987360
2021-10-21,4.244719982147217,4.300571315563956,4.0771652209796505,4.228762403962623,152758302
2021-10-22,4.34844446182251,4.38035962121338,4.228762804336102,4.236741403954464,127324802
2021-10-25,4.420253276824951,4.44418983397728,4.308550231184311,4.316528829929308,152444701
2021-10-26,4.452168941497803,4.484084101042261,4.436211361725573,4.452168941497803,91973826
2021-10-27,4.611744403839111,4.635680579552701,4.452168250427681,4.468125827722958,200007325
2021-10-28,4.675574779510498,4.7074899345549115,4.587807912909032,4.611744469421671,64075060
2021-11-01,4.747384071350098,4.779299228970771,4.675575156932927,4.707490314553601,118833867
2021-11-02,4.843130111694336,4.875045270547453,4.755363234618912,4.763341834102839,141654912
2021-11-03,4.9468536376953125,4.962811215347543,4.7074899729118584,4.835150594129701,150783476
2021-11-04,5.042599678039551,5.090472412837748,4.970790385612917,5.026642099773485,134145679
2021-11-05,5.0505781173706055,5.066535695132493,4.954832650799283,5.0505781173706055,122398297
2021-11-08,5.082493782043457,5.082493782043457,5.010684865150694,5.058557603232104,96170826
2021-11-09,5.026642322540283,5.138345375353111,5.018663342824306,5.082493658717351,120695825
2021-11-10,5.1064300537109375,5.1303662311741665,5.0027056034804644,5.026642161402374,142729245
2021-11-11,5.026642322540283,5.106430217406589,5.0106847435670225,5.082493658717351,99050441
2021-11-12,5.058557510375977,5.106430247578622,5.042599931308428,5.050578530612854,72577034
2021-11-15,5.561221122741699,5.561221122741699,5.385687763051467,5.465475653819754,174071198
2021-11-16,5.609094619750977,6.111758556061819,5.56122150157023,6.111758556061819,393995693
2021-11-17,5.672924041748047,5.752711925364049,5.561220624227004,5.585157179541125,113367436
2021-11-18,5.784627437591553,6.111757970936164,5.609094082749206,5.680902992228107,408721430
2021-11-19,5.768670082092285,5.8644155520581185,5.720797347109369,5.832500395402841,112590112
2021-11-22,5.736754894256592,5.848457941942935,5.720797316015686,5.824521764810914,86075265
2021-11-23,5.505369186401367,5.768669387325404,5.441538880778405,5.720796658108182,291014756
2021-11-24,5.569199562072754,5.65696642363756,5.513347853720853,5.545263006933757,363469148
2021-11-25,5.4574971199035645,5.593136726052779,5.449518140502468,5.585157746651683,168362967
2021-11-26,5.273984909057617,5.401645538960561,5.1862180357700005,5.401645538960561,159358876
2021-11-29,5.266005516052246,5.329835825992727,5.186217628626645,5.2819630935373665,127200083
2021-11-30,5.202175617218018,5.273984911805177,5.170260459725655,5.226112175566633,209301216
2021-12-01,5.369729995727539,5.417602728502002,5.242069374995637,5.258026952587125,162163561
2021-12-02,5.433560371398926,5.465475526965486,5.377708658928112,5.385687638049085,109060822
2021-12-03,5.489412307739258,5.521327464607384,5.4255819940030054,5.465475749858823,136373993
2021-12-06,5.736754894256592,5.744733493147707,5.489412241293207,5.505369819534113,131559340
2021-12-07,5.752711772918701,5.8245210564994965,5.656966315116728,5.800584501819689,187657853
2021-12-08,5.912288188934326,5.952182324320772,5.776648585170819,5.792606543692334,209192363
2021-12-09,5.920266628265381,6.039948643051017,5.88037249651729,5.9362242048728895,167332237
2021-12-10,5.8005852699279785,5.904309719844529,5.696860820011427,5.904309719844529,159598791
2021-12-13,5.992076396942139,6.071864286420605,5.744733368870893,5.800585081735153,185683661
2021-12-14,6.311227798461914,6.406973263463472,6.01601242447778,6.01601242447778,237433520
2021-12-15,6.279312610626221,6.510697673399379,6.247397455792589,6.42293118783622,170927211
2021-12-16,6.558570861816406,6.558570861816406,6.351121972544488,6.383037127746527,255865289
2021-12-17,5.9043097496032715,6.973468269608322,5.9043097496032715,6.646337720255136,449895318
2021-12-20,5.8484578132629395,6.271334198030681,5.433560407669432,5.58515758785188,234594065
2021-12-21,5.784627437591553,6.430910286112301,5.736754704452731,6.430910286112301,261765372
2021-12-22,6.055906772613525,6.095800527545613,5.736754830863464,5.784627565057172,168090630
2021-12-23,6.079843044281006,6.223461629560176,5.904309682833738,6.175588514161334,139365923
2021-12-24,6.079843044281006,6.1277157792211705,6.031970309340842,6.095800622594394,67609854
2021-12-27,6.247397422790527,6.2713339790186335,6.079842670569746,6.079842670569746,119223114
2021-12-28,5.87239408493042,6.21548218311651,5.87239408493042,6.21548218311651,90322870
2021-12-29,5.864415645599365,5.928245959928056,5.69686088025721,5.79260673220893,113406667
2021-12-30,5.8564372062683105,6.000055417424962,5.8564372062683105,5.880373384565072,97992400
2021-12-31,5.744733810424805,5.928246160559806,5.688882473726346,5.864415844070884,51493549
2022-01-03,5.8484578132629395,5.880372969042543,5.728775788860094,5.744733366749895,94514821
