Price,Close,High,Low,Open,Volume
2021-08-10,1.1252256631851196,1.1552312004163157,1.1177236032392481,1.140227981375336,39574231
2021-08-11,1.1177237033843994,1.1252257640024363,1.1177237033843994,1.1252257640024363,21361570
2021-08-12,1.1252256631851196,1.140227981375336,1.1177236032392481,1.1252256631851196,29119535
2021-08-13,1.1252256631851196,1.140227981375336,1.1177236032392481,1.1252256631851196,13807990
2021-08-16,1.1327269077301025,1.140228067391078,1.125225748069127,1.125225748069127,15556391
2021-08-17,1.1327269077301025,1.140228067391078,1.125225748069127,1.1327269077301025,4341440
2021-08-18,1.1252256631851196,1.140227981375336,1.1177236032392481,1.1327268222802278,10690279
2021-08-19,1.1252256631851196,1.1252256631851196,1.11022244414414,1.1252256631851196,7827026
2021-08-20,1.1252256631851196,1.1252256631851196,1.1177236032392481,1.1177236032392481,2330031
2021-08-23,1.1177237033843994,1.132726923769629,1.1102225436172068,1.1252257640024363,15826386
2021-08-24,1.1252256631851196,1.1327268222802278,1.1177236032392481,1.1177236032392481,9617575
2021-08-25,1.1177237033843994,1.1252257640024363,1.1102225436172068,1.1252257640024363,8843991
2021-08-26,1.1177237033843994,1.1252257640024363,1.1102225436172068,1.1177237033843994,10701633
2021-08-27,1.1177237033843994,1.1177237033843994,1.1102225436172068,1.1177237033843994,2356179
2021-08-31,1.1027204990386963,1.1327269402456113,1.095219339162396,1.1252257803693113,34251671
2021-09-01,1.1027204990386963,1.1102225597658537,1.095219339162396,1.1027204990386963,12464613
2021-09-02,1.110222578048706,1.1252257988992327,1.1027205171980066,1.110222578048706,14909103
2021-09-03,1.1177237033843994,1.1177237033843994,1.10272048299917,1.1102225436172068,7773414
2021-09-06,1.1552313566207886,1.1627325167301652,1.1252258153323969,1.1252258153323969,51897788
2021-09-07,1.1477301120758057,1.177735763763118,1.1402280516674514,1.1552312716333408,46396473
2021-09-08,1.1252256631851196,1.1552312004163157,1.1177236032392481,1.1477300413212075,18879085
2021-09-09,1.140228033065796,1.140228033065796,1.1177236539095072,1.125225714195473,13316101
2021-09-10,1.1327269077301025,1.1477301279028849,1.125225748069127,1.140228067391078,10601556
2021-09-13,1.140228033065796,1.140228033065796,1.125225714195473,1.1327268736306344,18107601
2021-09-14,1.140228033065796,1.1477300933517618,1.125225714195473,1.140228033065796,7102091
2021-09-15,1.1327269077301025,1.140228067391078,1.1327269077301025,1.1327269077301025,4221032
2021-09-16,1.1477301120758057,1.1552312716333408,1.132726892109916,1.132726892109916,13757167
2021-09-17,1.140228033065796,1.1702345851144011,1.140228033065796,1.1477300933517618,20126610
2021-09-20,1.110222578048706,1.1327269588990598,1.0877181971983523,1.1252257988992327,26981970
2021-09-21,1.1177237033843994,1.1252257640024363,1.1102225436172068,1.1102225436172068,5150170
2021-09-22,1.1252256631851196,1.1252256631851196,1.11022244414414,1.1252256631851196,4508887
2021-09-23,1.1252256631851196,1.1477300413212075,1.11022244414414,1.1177236032392481,8732064
2021-09-24,1.2377477884292603,1.2377477884292603,1.1027204928511594,1.1177237133704314,61853971
2021-09-27,1.2227445840835571,1.2677543588430864,1.192739043498974,1.230246644867851,32299681
2021-09-28,1.2227445840835571,1.2602521854524342,1.2002402034324036,1.2077422642166975,38227496
2021-09-29,1.230246663093567,1.2527510440781155,1.2152434421535752,1.2227446021981323,34810091
2021-09-30,1.2377477884292603,1.267754342074161,1.2227445679099882,1.2302466285950504,33925847
2021-10-01,1.24524986743927,1.24524986743927,1.2227445859037507,1.2302466466992124,19426000
2021-10-04,1.2377477884292603,1.2602521687827424,1.2302466285950504,1.2452498491143225,18387252
2021-10-05,1.357771873474121,1.357771873474121,1.2302466376431698,1.2377477975325488,68547591
2021-10-06,1.3502707481384277,1.4252850452485764,1.2902586573334738,1.4027806660304512,93148332
2021-10-07,1.3427685499191284,1.3802762607990713,1.32026417112513,1.3577717693987241,41711119
2021-10-08,1.357771873474121,1.3952795872290904,1.3352674929551256,1.3427686528445044,23877911
2021-10-11,1.357771873474121,1.3952795872290904,1.357771873474121,1.357771873474121,24267748
2021-10-12,1.3427685499191284,1.3727751014846685,1.3352673906047257,1.35027072269067,15259328
2021-10-13,1.2527509927749634,1.4027807186908907,1.2227445521238156,1.350270798827643,105832070
2021-10-14,1.3052619695663452,1.3127631295535334,1.237747813671811,1.2452498745098697,33287586
2021-10-15,1.3427685499191284,1.3577717693987241,1.2827565728515358,1.3052618524963242,37756477
2021-10-18,1.3502707481384277,1.3652729544436224,1.3277662563139516,1.3427685752254972,9789087
2021-10-19,1.357771873474121,1.3727752067100951,1.3427686528445044,1.3502708261910996,9062767
2021-10-20,1.3427685499191284,1.3727751014846685,1.3277662312903227,1.3652729287131269,9805706
2021-10-21,1.357771873474121,1.3652730333635,1.320264272325509,1.3352674929551256,17570137
2021-10-22,1.3502707481384277,1.4252850452485764,1.3427685752254972,1.3577717949878496,37672320
2021-10-25,1.320264220237732,1.365272979500013,1.305261901050854,1.3427685998688725,19555084
2021-10-26,1.320264220237732,1.3427685998688725,1.320264220237732,1.3277662806819943,12593119
2021-10-27,1.3427685499191284,1.35027072269067,1.32026417112513,1.3277662312903227,12593624
2021-10-28,1.3277662992477417,1.3502707917999084,1.3277662992477417,1.3427686186443926,5634262
2021-11-01,1.3427685499191284,1.35027072269067,1.3277662312903227,1.3352673906047257,11264813
2021-11-02,1.3127630949020386,1.3652730151280528,1.3052619351128498,1.34276863490964,25482951
2021-11-03,1.4402883052825928,1.4402883052825928,1.3052619135920396,1.312763073257551,71114105
2021-11-04,1.447790503501892,1.5078024844187528,1.4252851098072217,1.4702948837393588,50832167
2021-11-05,1.4402883052825928,1.4627927977363133,1.4327871456170813,1.4477904784052904,14803999
2021-11-08,1.4627927541732788,1.4927991936433753,1.4477904352890358,1.4477904352890358,22198294
2021-11-09,1.477795958518982,1.522804716404613,1.4327870880270013,1.4477904202121599,31690732
2021-11-10,1.515303611755371,1.612823303869038,1.4402882993971107,1.4702948522445585,87009256
2021-11-11,1.4927992820739746,1.5978201373452887,1.4777960614501642,1.5078025026977853,69230174
2021-11-12,1.515303611755371,1.5903189241136315,1.4927992319999648,1.500300391634824,52813928
2021-11-15,1.6053211688995361,1.6353277203547374,1.552811252190223,1.552811252190223,82599944
2021-11-16,1.5078024864196777,1.6278266736253888,1.5078024864196777,1.5903189602898646,51264918
2021-11-17,1.5453091859817505,1.57531573950564,1.515303645915066,1.515303645915066,25476313
